year,eût_VERB eu_VERB
1800,3.851601377391489e-06
1801,3.540818397596013e-06
1802,4.1735720515134744e-06
1803,3.3877392979775323e-06
1804,4.189787432551384e-06
1805,3.644569233074435e-06
1806,3.855673185171327e-06
1807,3.985737293987768e-06
1808,4.22622815676732e-06
1809,3.9781525629223324e-06
1810,3.8144066820677835e-06
1811,3.4021031751763076e-06
1812,4.3342133722035214e-06
1813,3.7557185805781046e-06
1814,4.301507487980416e-06
1815,3.5441516956780106e-06
1816,3.0777780466451077e-06
1817,4.0712238842388615e-06
1818,3.90895411328529e-06
1819,4.315352725825505e-06
1820,3.838806605926948e-06
1821,4.521492428466445e-06
1822,4.339086444815621e-06
1823,6.3427082750422414e-06
1824,4.589506261254428e-06
1825,5.403019713412505e-06
1826,4.455959242477547e-06
1827,4.209528469800716e-06
1828,4.219258698867634e-06
1829,4.006245035270695e-06
1830,4.699707005784148e-06
1831,3.063672011194285e-06
1832,2.9684752007597126e-06
1833,2.8009212655888405e-06
1834,3.1858753573033027e-06
1835,3.392801318113925e-06
1836,3.4134689030906884e-06
1837,3.3279591207246995e-06
1838,3.925533292203909e-06
1839,3.2223708785750205e-06
1840,3.218603751520277e-06
1841,3.1049771678226534e-06
1842,3.3360201996401884e-06
1843,2.8110989660490304e-06
1844,3.1015858894534176e-06
1845,2.6154527859034715e-06
1846,2.890952828238369e-06
1847,2.6189493382844375e-06
1848,2.549530790929566e-06
1849,2.5532076506351586e-06
1850,2.8595252388186054e-06
1851,2.870000344046275e-06
1852,2.616588290038635e-06
1853,2.6581069505482446e-06
1854,2.890867790483753e-06
1855,2.5802328309509903e-06
1856,2.664181465661386e-06
1857,3.049478664252092e-06
1858,2.8172892143629724e-06
1859,3.016094296981464e-06
1860,2.8451775051507866e-06
1861,2.7196963401365792e-06
1862,3.0265989607869415e-06
1863,2.6970951694238465e-06
1864,2.771352683339501e-06
1865,2.5162789825117216e-06
1866,2.520873977118754e-06
1867,2.442905270072515e-06
1868,2.7119908736494835e-06
1869,2.6136594897252508e-06
1870,2.557959078330896e-06
1871,2.54377187047794e-06
1872,2.3953512027219404e-06
1873,2.211230139437248e-06
1874,2.1819273570145015e-06
1875,2.2416943465941586e-06
1876,2.07801531360019e-06
1877,1.9506910575728398e-06
1878,1.9005011608896893e-06
1879,2.094276624120539e-06
1880,1.8637425682754838e-06
1881,1.8930358010038617e-06
1882,1.868832100626605e-06
1883,1.7991158074437408e-06
1884,1.929676045619999e-06
1885,1.739677031764586e-06
1886,1.7159760545837344e-06
1887,1.5956692323015886e-06
1888,1.5921283420539112e-06
1889,1.6991050415526843e-06
1890,1.6707131180737633e-06
1891,1.463520902689197e-06
1892,1.2342700301815057e-06
1893,1.3794852975479444e-06
1894,1.359241991849558e-06
1895,1.3674292631549179e-06
1896,1.4353367987496313e-06
1897,1.1956416301472927e-06
1898,1.2980266319573275e-06
1899,1.2680264944719966e-06
1900,1.125939434132306e-06
1901,9.852947187027894e-07
1902,1.0061171451525297e-06
1903,1.0282019502483308e-06
1904,9.29810141769849e-07
1905,1.0527948006711085e-06
1906,1.0128899248229573e-06
1907,1.0049116099253297e-06
1908,1.0210777645625058e-06
1909,1.1898627008122276e-06
1910,9.373640068588429e-07
1911,1.030024463943846e-06
1912,1.0246931196888909e-06
1913,9.190081300403108e-07
1914,9.429015221940062e-07
1915,7.704618383286288e-07
1916,8.943794114202319e-07
1917,8.970534963737009e-07
1918,7.891140398896823e-07
1919,8.738248311601637e-07
1920,8.639916586616891e-07
1921,9.428070484318596e-07
1922,8.46249179176084e-07
1923,9.787904673430603e-07
1924,1.0738723403846961e-06
1925,9.865365200312226e-07
1926,8.582526334066642e-07
1927,1.104888156078232e-06
1928,9.312223596680269e-07
1929,1.0984440450556576e-06
1930,8.665472819302522e-07
1931,8.325910130224656e-07
1932,8.899143608687154e-07
1933,7.04298656728497e-07
1934,7.428579920087941e-07
1935,7.887099400250008e-07
1936,5.504620617102773e-07
1937,7.239892738652998e-07
1938,6.171442237246083e-07
1939,6.331736699394241e-07
1940,5.249070795798616e-07
1941,6.345730412249395e-07
1942,7.706897804382606e-07
1943,5.980664354865439e-07
1944,7.069009484439448e-07
1945,6.557297069775814e-07
1946,5.693731850442418e-07
1947,7.426702381962969e-07
1948,6.403541874533403e-07
1949,5.595694574367371e-07
1950,6.232322107280197e-07
1951,8.198617820198706e-07
1952,6.769764127056987e-07
1953,4.6973886469459103e-07
1954,7.6323505027176e-07
1955,5.565665333051584e-07
1956,4.883839324065775e-07
1957,5.018301294512639e-07
1958,4.855806992054568e-07
1959,4.7202053110595443e-07
1960,5.239070901552623e-07
1961,5.780868264082528e-07
1962,5.866309606972209e-07
1963,5.994031084810558e-07
1964,6.60110572425765e-07
1965,5.855086442352331e-07
1966,6.309006153060182e-07
1967,7.794860721332952e-07
1968,7.22219681392744e-07
1969,6.39933659840608e-07
1970,5.863374212822237e-07
1971,5.90401896261028e-07
1972,4.981372399015527e-07
1973,3.826163492703927e-07
1974,2.2164752522257913e-07
1975,3.4840027751670277e-07
1976,2.868190449589747e-07
1977,2.961897962450166e-07
1978,4.158413844379538e-07
1979,3.8213386233110214e-07
1980,3.411090290228458e-07
1981,2.9034271165073733e-07
1982,2.6443959200150857e-07
1983,2.0651083332268172e-07
1984,2.0122558908042265e-07
1985,2.1716164155805018e-07
1986,2.8533750651149603e-07
1987,3.0004110840309295e-07
1988,1.6850316342242877e-07
1989,2.859311791780783e-07
1990,1.9669630546559347e-07
1991,2.104266059177462e-07
1992,2.479474972005846e-07
1993,2.1602909328066744e-07
1994,2.3315175212701433e-07
1995,2.1093333657518087e-07
1996,1.9537417017545522e-07
1997,1.548750958590972e-07
1998,2.1790350501760258e-07
1999,2.4176364377126447e-07
2000,2.142745216815456e-07
2001,2.9836053272447316e-07
2002,2.549870998791448e-07
2003,1.7584414990778896e-07
2004,2.294896290777615e-07
2005,2.6121747964680253e-07
2006,2.2977825153702724e-07
2007,2.3367704216070706e-07
2008,2.3245620184297877e-07
2009,2.2267458632541093e-07
2010,1.700565519513475e-07
2011,2.3402708393405192e-07
2012,4.748932553866325e-07
2013,5.475052375913947e-07
2014,6.394559477485018e-07
2015,9.823862683333573e-07
2016,9.173965054287692e-07
2017,2.8527031759040256e-07
2018,6.611136313949828e-07
2019,1.0721801118052099e-06
